Type,                        Txhash,                        BlockTime Unix,                        BlockTime,                        Fee (SOL),                        TokenAccount,                        ChangeType,                        SPL BalanceChange,                        PreBalancer,                        PostBalancer,                        TokenAddress,                        TokenName(off-chain),                        Symbol(off-chain),                        SolTransfer Source,                        SolTransfer Destination,                        Amount (SOL)
TokenChange,5QtaueeSWUS7bKrq5jNsGcX4hmzU7UbWKP9Sa1aNjM7Pnj4BfRcaBmKsxYdu7hKuyayew5LtMwRwoqt21JhqtzN3,1710735604,2024-03-18T04:20:04,0.000025,A98pQNUEBzTjW5HboBV7fjUA7Qio3Fxpt9WjFiMD8J2K,inc,4143713,,4143713,8Qrc2pf9p24NyJVG1FagnqJXwKw6h5L5McxnMfJoUxev,Emmy,,,,
TokenChange,3MVazfyTjdvniJtgLaoZyEj5L4dEsDmSZ6YmHNVvGj3z7bGsQPgBKrosGPpDXGdwJ9wecPZ73FcS3hi73FxSTmQg,1710723796,2024-03-18T01:03:16,0.000025,JEHWy3hMUVnicKr23GghiGLYGF8tnnh8uBTk8gr2EaW1,inc,1000,,1000,9ocUimaRaSKqKo5bTdZWeNWoyVLcqKG3hGJ17z56tfit,CHAD,,,,
TokenChange,24zuz4EuWPThRW7cBAozYkZQy1hghDobhMFKqTP81Knb2yB8kJsUMirH5V6v2PsXSN4QdyAA3tKRhBgjjVWFsdU6,1710722205,2024-03-18T00:36:45,0.000025,4fKX2Ytrq2B4stz962P7aA8Kg4oWZFGipbcWg2GqHCAL,inc,101636.745331408,,101636.745331408,8wXtPeU6557ETkp9WHFY1n1EcU6NxDvbAggHGsMYiHsB,GameStop,,,,
TokenChange,MKCsr4mc8X7QcVo9xUuMTo1kXAJYX89D5Rt4VGzynq5CpZeLz2Q5gH1J8fDPnpQj7h4AnPXqbDYPMY55VfuZuWc,1710702419,2024-03-17T19:06:59,0.000025,4kPhUYPUyfigeVoqmCGrkriPk6BQNbsm8HpqYbbdo9CK,inc,176.522934,,176.522934,39dmB1koRSHpnrnqQYB3Psbbo525Rviz4utg49HqqyrY,Bonk Crash,,,,
TokenChange,2AF1MhjuJuUJnVAV1jgt61HEneUHg3BTJJBHNsw2yqxsCUKJEHaRgoyuMAwU8g2FgH7BoXGQrQjsBf8cKnz9CwQT,1710701116,2024-03-17T18:45:16,0.000025,3Yg8HqWjfTSRiG3y9HVqgzZH9uLFimRb9t2kSndsSfhx,inc,100000,,100000,7F91sHjpzTnCeGrWorz4jaMeso8niqBK4nKVAei2XcYk,PeePee da Frok,,,,
TokenChange,67PgA8ZJcELuEF9LdqxCRtkeLbnn1YtVYMZ52o8fMDj5YnhuqGHh9EQW81EkHzgHPbYYfo7cBXZbSrv6LKq1cghB,1710700131,2024-03-17T18:28:51,0.000025,H2nJKSbuGmDxBxK7XPCv1XwdpgDiN5oqAZV2fXvoQHY6,inc,1000,,1000,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,Bonk,,,,
SolTransfer,4jA2zbqMdyWRWceBPqZsVJcorBf5toAPbau6zCb2G1178uf3V1uyW7aBzw6MqumJffrHnfwDCfDkWTQu7L4zXopF,1710881264,2024-03-19T20:47:44,0.000005,,,,,,,Solana,SOL,Habp5bncMSsBC3vkChyebepym5dcTNRYeg2LVG464E96,6nbnQJJJ2RyJAcUQkcbV4rUXzh98AbZxmXovc184Y9sd,
SolTransfer,Z4ajN5am6RAWgv2v21R8YCJW2VqpBNxdpWyLLrsCPMTgoXuVGkoxpEsCrhp7JUw5ZoyFgLu6mSKWkxvezGJXax9,1710866053,2024-03-19T16:34:13,0.000005,,,,,,,Solana,SOL,62M8eiTveAQgHLCqngQ45t5LfZ27ZekaD2kLtfcyXGaX,6nbnQJJJ2RyJAcUQkcbV4rUXzh98AbZxmXovc184Y9sd,0.999995
SolTransfer,2ip2Qd5DkARLqh3aMMfa6PzoxN2z25FMEvyr1z3G5FP9tFVtVGAgPYMKCjPJ6yTJaXNVdq2DRikUvvryTwYnuCMi,1710865685,2024-03-19T16:28:05,0.000054,,,,,,,Solana,SOL,Eyip6HqDoeqU4REYp6VNJgtnsdxTeY6NpDBVmnZtNqmt,6nbnQJJJ2RyJAcUQkcbV4rUXzh98AbZxmXovc184Y9sd,0.0001
SolTransfer,3P3K3Xmdec6dthY23tgTXWWXvE67Tu71YMJz4xMmdx69xVjQ88PbpNKCqwra6iqZKgk9uqtUX6VnwdGbvwWnBpc,1710865327,2024-03-19T16:22:07,0.000025,,,,,,,Solana,SOL,EDC342sgYo8rG8zoNmsdBETbE851wW3gqCdo4tsWgQ3s,6nbnQJJJ2RyJAcUQkcbV4rUXzh98AbZxmXovc184Y9sd,1
